anzsco_code,anzsco_title,isco08_code,isco08_title,isco08_detail
1,MANAGERS,,,
111111,Chief Executive or Managing Director,1112.0,p,Senior government officials
111111,Chief Executive or Managing Director,1114.0,p,Senior officials of special-interest organizations
111111,Chief Executive or Managing Director,1120.0,p,Managing directors and chief executives
111211,Corporate General Manager,1114.0,p,Senior officials of special-interest organizations
111211,Corporate General Manager,1120.0,p,Managing directors and chief executives
111211,Corporate General Manager,1112.0,p,Senior government officials
111212,Defence Force Senior Officer,110.0,p,Commissioned armed forces officers
111311,Local Government Legislator,1111.0,p,Legislators
111312,Member of Parliament,1111.0,p,Legislators
111399,Legislators nec,1111.0,p,Legislators
121111,Aquaculture Farmer,1312.0,,Aquaculture and fisheries production managers
121111,Aquaculture Farmer,6221.0,,Aquaculture workers
121211,Cotton Grower,1311.0,p,Agricultural and forestry production managers
121211,Cotton Grower,6111.0,p,Field crop and vegetable growers
121212,Flower Grower,1311.0,p,Agricultural and forestry production managers
121212,Flower Grower,6113.0,p,"Gardeners, horticultural and nursery growers"
121213,Fruit or Nut Grower,1311.0,p,Agricultural and forestry production managers
121213,Fruit or Nut Grower,6112.0,p,Tree and shrub crop growers
121214,"Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",1311.0,p,Agricultural and forestry production managers
121214,"Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",6111.0,p,Field crop and vegetable growers
121215,Grape Grower,1311.0,p,Agricultural and forestry production managers
121215,Grape Grower,6112.0,p,Tree and shrub crop growers
121216,Mixed Crop Farmer,1311.0,p,Agricultural and forestry production managers
121216,Mixed Crop Farmer,6114.0,,Mixed crop growers
121217,Sugar Cane Grower,1311.0,p,Agricultural and forestry production managers
121217,Sugar Cane Grower,6111.0,p,Field crop and vegetable growers
121218,Turf Grower,6113.0,p,"Gardeners, horticultural and nursery growers"
121221,Vegetable Grower (Aus) / Market Gardener (NZ),1311.0,p,Agricultural and forestry production managers
121221,Vegetable Grower (Aus) / Market Gardener (NZ),6111.0,p,Field crop and vegetable growers
121221,Vegetable Grower (Aus) / Market Gardener (NZ),6113.0,p,"Gardeners, horticultural and nursery growers"
121299,Crop Farmers nec,6111.0,p,Field crop and vegetable growers
121299,Crop Farmers nec,6112.0,p,Tree and shrub crop growers
121299,Crop Farmers nec,6113.0,p,"Gardeners, horticultural and nursery growers"
121311,Apiarist,1311.0,p,Agricultural and forestry production managers
121311,Apiarist,6123.0,p,Apiarists and sericulturists
121312,Beef Cattle Farmer,1311.0,p,Agricultural and forestry production managers
121312,Beef Cattle Farmer,6121.0,p,Livestock and dairy producers
121313,Dairy Cattle Farmer,1311.0,p,Agricultural and forestry production managers
121313,Dairy Cattle Farmer,6121.0,p,Livestock and dairy producers
121314,Deer Farmer,1311.0,p,Agricultural and forestry production managers
121314,Deer Farmer,6121.0,p,Livestock and dairy producers
121315,Goat Farmer,1311.0,p,Agricultural and forestry production managers
121315,Goat Farmer,6121.0,p,Livestock and dairy producers
121316,Horse Breeder,1311.0,p,Agricultural and forestry production managers
121316,Horse Breeder,6121.0,p,Livestock and dairy producers
121317,Mixed Livestock Farmer,1311.0,p,Agricultural and forestry production managers
121317,Mixed Livestock Farmer,6121.0,p,Livestock and dairy producers
121318,Pig Farmer,1311.0,p,Agricultural and forestry production managers
121318,Pig Farmer,6121.0,p,Livestock and dairy producers
121321,Poultry Farmer,1311.0,p,Agricultural and forestry production managers
121321,Poultry Farmer,6122.0,,Poultry producers
121322,Sheep Farmer,1311.0,p,Agricultural and forestry production managers
121322,Sheep Farmer,6121.0,p,Livestock and dairy producers
121399,Livestock Farmers nec,1311.0,p,Agricultural and forestry production managers
121399,Livestock Farmers nec,6121.0,p,Livestock and dairy producers
121399,Livestock Farmers nec,6123.0,p,Apiarists and sericulturists
121399,Livestock Farmers nec,6129.0,p,Animal producers not elsewhere classified
121411,Mixed Crop and Livestock Farmer,1311.0,p,Agricultural and forestry production managers
121411,Mixed Crop and Livestock Farmer,6130.0,,Mixed crop and animal producers
131112,Sales and Marketing Manager,1221.0,,Sales and marketing managers
131113,Advertising Manager,1222.0,p,Advertising and public relations managers
131114,Public Relations Manager,1222.0,p,Advertising and public relations managers
132111,Corporate Services Manager,1219.0,p,Business services and administration managers not elsewhere classified
132111,Corporate Services Manager,1211.0,p,Finance managers
132211,Finance Manager,1211.0,p,Finance managers
132311,Human Resource Manager,1212.0,,Human resource managers
132411,Policy and Planning Manager,1213.0,,Policy and planning managers
132511,Research and Development Manager,1223.0,,Research and development managers
133111,Construction Project Manager,1323.0,p,Construction managers
133111,Construction Project Manager,3123.0,p,Construction supervisors
133112,Project Builder,1323.0,p,Construction managers
133112,Project Builder,7111.0,,House builders
133211,Engineering Manager,1349.0,p,Professional services managers not elsewhere classified
133311,Importer or Exporter,1324.0,p,"Supply, distribution and related managers"
133312,Wholesaler,1420.0,p,Retail and wholesale trade managers
133411,Manufacturer,1321.0,p,Manufacturing managers
133511,Production Manager (Forestry),1311.0,p,Agricultural and forestry production managers
133512,Production Manager (Manufacturing),1321.0,p,Manufacturing managers
133512,Production Manager (Manufacturing),3122.0,,Manufacturing supervisors
133513,Production Manager (Mining),1322.0,,Mining managers
133611,Supply and Distribution Manager,1324.0,p,"Supply, distribution and related managers"
133612,Procurement Manager,1324.0,p,"Supply, distribution and related managers"
134111,Child Care Centre Manager,1341.0,,Child care service managers
134211,Medical Administrator (Aus) / Medical Superintendent (NZ),1342.0,p,Health service managers
134212,Nursing Clinical Director,1342.0,p,Health service managers
134213,Primary Health Organisation Manager,1342.0,p,Health service managers
134214,Welfare Centre Manager,1344.0,p,Social welfare managers
134299,Health and Welfare Services Managers nec,1342.0,p,Health service managers
134299,Health and Welfare Services Managers nec,1343.0,p,Aged care service managers
134299,Health and Welfare Services Managers nec,1344.0,p,Social welfare managers
134311,School Principal,1345.0,p,Education managers
134411,Faculty Head,1345.0,p,Education managers
134412,Regional Education Manager,1345.0,p,Education managers
134499,Education Managers nec,1345.0,p,Education managers
135111,Chief Information Officer,1330.0,p,Information and communications technology service managers
135112,ICT Project Manager,1330.0,p,Information and communications technology service managers
135199,ICT Managers nec,1330.0,p,Information and communications technology service managers
139111,Commissioned Defence Force Officer,110.0,p,Commissioned armed forces officers
139112,Commissioned Fire Officer,1349.0,p,Professional services managers not elsewhere classified
139113,Commissioned Police Officer,1349.0,p,Professional services managers not elsewhere classified
139211,Senior Non-commissioned Defence Force Member,210.0,,Non-commissioned armed forces officers
139911,Arts Administrator or Manager,1349.0,p,Professional services managers not elsewhere classified
139912,Environmental Manager,1349.0,p,Professional services managers not elsewhere classified
139913,Laboratory Manager,1349.0,p,Professional services managers not elsewhere classified
139914,Quality Assurance Manager,1213.0,p,Policy and planning managers
139914,Quality Assurance Manager,2421.0,p,Management and organisation analysts
139915,Sports Administrator,1349.0,p,Professional services managers not elsewhere classified
139999,Specialist Managers nec,1112.0,p,Senior government officials
139999,Specialist Managers nec,1321.0,p,Manufacturing managers
139999,Specialist Managers nec,1349.0,p,Professional services managers not elsewhere classified
139999,Specialist Managers nec,2636.0,p,Religious professionals
141111,Cafe or Restaurant Manager,1412.0,,Restaurant managers
141211,Caravan Park and Camping Ground Manager,1439.0,p,Services managers not elsewhere classified
141311,Hotel or Motel Manager,1411.0,p,Hotel managers
141411,Licensed Club Manager,1439.0,p,Services managers not elsewhere classified
141911,Bed and Breakfast Operator,5152.0,p,Domestic housekeepers
141912,Retirement Village Manager,1343.0,p,Aged care service managers
141999,Accommodation and Hospitality Managers nec,1411.0,p,Hotel managers
141999,Accommodation and Hospitality Managers nec,1439.0,p,Services managers not elsewhere classified
142111,Retail Manager (General),1420.0,p,Retail and wholesale trade managers
142111,Retail Manager (General),5221.0,p,Shopkeepers
142112,Antique Dealer,1420.0,p,Retail and wholesale trade managers
142112,Antique Dealer,5221.0,p,Shopkeepers
142113,Betting Agency Manager,1420.0,p,Retail and wholesale trade managers
142113,Betting Agency Manager,5221.0,p,Shopkeepers
142114,Hair or Beauty Salon Manager,1420.0,p,Retail and wholesale trade managers
142114,Hair or Beauty Salon Manager,5221.0,p,Shopkeepers
142115,Post Office Manager,1420.0,p,Retail and wholesale trade managers
142115,Post Office Manager,5221.0,p,Shopkeepers
142116,Travel Agency Manager,1439.0,p,Services managers not elsewhere classified
149111,Amusement Centre Manager,1431.0,p,"Sports, recreation and cultural centre managers"
149112,Fitness Centre Manager,1431.0,p,"Sports, recreation and cultural centre managers"
149113,Sports Centre Manager,1431.0,p,"Sports, recreation and cultural centre managers"
149211,Call or Contact Centre Manager,1439.0,p,Services managers not elsewhere classified
149212,Customer Service Manager,1219.0,p,Business services and administration managers not elsewhere classified
149212,Customer Service Manager,1439.0,p,Services managers not elsewhere classified
149311,Conference and Event Organiser,3332.0,p,Conference and event planners
149311,Conference and Event Organiser,1439.0,p,Professional Service Managers nec
149411,Fleet Manager,1324.0,p,"Supply, distribution and related managers"
149412,Railway Station Manager,1324.0,p,"Supply, distribution and related managers"
149413,Transport Company Manager,1324.0,p,"Supply, distribution and related managers"
149911,Boarding Kennel or Cattery Operator,1439.0,p,Services managers not elsewhere classified
149912,Cinema or Theatre Manager,1431.0,p,"Sports, recreation and cultural centre managers"
149913,Facilities Manager,1219.0,p,Business services and administration managers not elsewhere classified
149913,Facilities Manager,1439.0,p,Services managers not elsewhere classified
149914,Financial Institution Branch Manager,1346.0,,Financial and insurance services branch managers
149915,Equipment Hire Manager,1439.0,p,Services managers not elsewhere classified
149999,"Hospitality, Retail and Service Managers nec",1439.0,p,Services managers not elsewhere classified
149999,"Hospitality, Retail and Service Managers nec",3324.0,p,Trade brokers
2,PROFESSIONALS,,,
211111,Actor,2655.0,p,Actors
211112,Dancer or Choreographer,2653.0,,Dancers and choreographers
211113,Entertainer or Variety Artist,2659.0,p,Creative and performing artists not elsewhere classified
211113,Entertainer or Variety Artist,2652.0,p,"Musicians, singers and composers"
211199,"Actors, Dancers and Other Entertainers nec",2655.0,p,Actors
211199,"Actors, Dancers and Other Entertainers nec",2659.0,p,Creative and performing artists not elsewhere classified
211199,"Actors, Dancers and Other Entertainers nec",3435.0,p,Artistic and cultural associate professionals not elsewhere classified
211211,Composer,2652.0,p,"Musicians, singers and composers"
211212,Music Director,2652.0,p,"Musicians, singers and composers"
211213,Musician (Instrumental),2652.0,p,"Musicians, singers and composers"
211214,Singer,2652.0,p,"Musicians, singers and composers"
211299,Music Professionals nec,2652.0,p,"Musicians, singers and composers"
211311,Photographer,3431.0,p,Photographers
211411,Painter (Visual Arts),2651.0,p,Visual artists
211412,Potter or Ceramic Artist,2651.0,p,Visual artists
211412,Potter or Ceramic Artist,7314.0,p,Potters and related workers
211413,Sculptor,2651.0,p,Visual artists
211499,Visual Arts and Crafts Professionals nec,7318.0,p,"Handicraft workers in textile, leather and related materials"
211499,Visual Arts and Crafts Professionals nec,7317.0,p,"Handicraft workers in wood, basketry and related materials"
211499,Visual Arts and Crafts Professionals nec,7319.0,,Handicraft workers not elsewhere classified
212111,Artistic Director,2654.0,p,"Film, stage and related directors and producers"
212112,Media Producer (excluding Video),2654.0,p,"Film, stage and related directors and producers"
212113,Radio Presenter,2656.0,p,"Announcers on radio, television and other media"
212114,Television Presenter,2656.0,p,"Announcers on radio, television and other media"
212211,Author,2641.0,p,Authors and related writers
212212,Book or Script Editor,2641.0,p,Authors and related writers
212311,"Art Director (Film, Television or Stage)",2654.0,p,"Film, stage and related directors and producers"
212312,"Director (Film, Television, Radio or Stage)",2654.0,p,"Film, stage and related directors and producers"
212313,Director of Photography,2654.0,p,"Film, stage and related directors and producers"
212314,Film and Video Editor,2654.0,p,"Film, stage and related directors and producers"
212315,Program Director (Television or Radio),2654.0,p,"Film, stage and related directors and producers"
212316,Stage Manager,3435.0,p,Artistic and cultural associate professionals not elsewhere classified
212317,Technical Director,2654.0,p,"Film, stage and related directors and producers"
212318,Video Producer,2654.0,p,"Film, stage and related directors and producers"
212399,"Film, Television, Radio and Stage Directors nec",2654.0,p,"Film, stage and related directors and producers"
212411,Copywriter,2431.0,p,Advertising and marketing professionals
212411,Copywriter,2432.0,p,Public relations professionals
212412,Newspaper or Periodical Editor,2642.0,p,Journalists
212413,Print Journalist,2642.0,p,Journalists
212414,Radio Journalist,2642.0,p,Journalists
212415,Technical Writer,2641.0,p,Authors and related writers
212416,Television Journalist,2642.0,p,Journalists
212499,Journalists and Other Writers nec,2641.0,p,Authors and related writers
212499,Journalists and Other Writers nec,2642.0,p,Journalists
221111,Accountant (General),2411.0,p,Accountants
221112,Management Accountant,2411.0,p,Accountants
221113,Taxation Accountant,2411.0,p,Accountants
221211,Company Secretary,1211.0,p,Finance managers
221212,Corporate Treasurer,1211.0,p,Finance managers
221213,External Auditor,2411.0,p,Accountants
221214,Internal Auditor,2411.0,p,Accountants
222111,Commodities Trader,3324.0,p,Trade brokers
222112,Finance Broker,3311.0,p,Securities and finance dealers and brokers
222113,Insurance Broker,3321.0,,Insurance representatives
222199,Financial Brokers nec,3311.0,p,Securities and finance dealers and brokers
222199,Financial Brokers nec,3339.0,p,Business service agents not elsewhere classified
222211,Financial Market Dealer,3311.0,p,Securities and finance dealers and brokers
222212,Futures Trader,3324.0,p,Trade brokers
222213,Stockbroking Dealer,3311.0,p,Securities and finance dealers and brokers
222299,Financial Dealers nec,2413.0,p,Financial analysts
222299,Financial Dealers nec,3311.0,p,Securities and finance dealers and brokers
222311,Financial Investment Adviser,2412.0,p,Financial and investment advisers
222312,Financial Investment Manager,2412.0,p,Financial and investment advisers
223111,Human Resource Adviser,2423.0,p,Personnel and career professionals
223112,Recruitment Consultant,2423.0,p,Personnel and career professionals
223112,Recruitment Consultant,3333.0,,Employment agents and contractors
223112,Recruitment Consultant,3339.0,p,Business service agents not elsewhere classified
223113,Workplace Relations Adviser,2423.0,,Personnel and career professionals
223211,ICT Trainer,2356.0,,Information technology trainers
223311,Training and Development Professional,2424.0,,Training and staff development professionals
224111,Actuary,2120.0,p,"Mathematicians, actuaries and statisticians"
224112,Mathematician,2120.0,p,"Mathematicians, actuaries and statisticians"
224113,Statistician,2120.0,p,"Mathematicians, actuaries and statisticians"
224211,Archivist,2621.0,p,Archivists and curators
224212,Gallery or Museum Curator,2621.0,p,Archivists and curators
224213,Health Information Manager,3252.0,p,Medical records and health information technicians
224214,Records Manager,2621.0,p,Archivists and curators
224214,Records Manager,2622.0,p,Librarians and related information professionals
224311,Economist,2631.0,p,Economists
224411,Intelligence Officer,2422.0,p,Policy administration professionals
224412,Policy Analyst,2422.0,p,Policy administration professionals
224511,Land Economist,2631.0,p,Economists
224512,Valuer,3315.0,p,Valuers and loss assessors
224611,Librarian,1349.0,p,Professional services managers not elsewhere classified
224611,Librarian,2622.0,,Librarians and related information professionals
224711,Management Consultant,2421.0,p,Management and organization analysts
224712,Organisation and Methods Analyst,2421.0,p,Management and organization analysts
224911,Electorate Officer,2422.0,p,Policy administration professionals
224912,Liaison Officer,3339.0,p,Business service agents not elsewhere classified
224912,Liaison Officer,3412.0,p,Social work associate professionals
224912,Liaison Officer,2432.0,p,Public relations professionals
224913,Migration Agent (Aus) / Immigration Consultant (NZ),2619.0,p,Legal professionals not elsewhere classified
224914,Patents Examiner,3359.0,p,Government regulatory associate professionals not elsewhere classified
224999,Information and Organisation Professionals nec,3339.0,p,Business service agents not elsewhere classified
224999,Information and Organisation Professionals nec,2622.0,p,Librarians and related information professionals
224999,Information and Organisation Professionals nec,3412.0,p,Social work associate professionals
225111,Advertising Specialist,2431.0,p,Advertising and marketing professionals
225112,Market Research Analyst,2431.0,p,Advertising and marketing professionals
225113,Marketing Specialist,2431.0,p,Advertising and marketing professionals
225211,ICT Account Manager,2434.0,p,Information and communication technology sales professionals
225212,ICT Business Development Manager,2434.0,p,Information and communication technology sales professionals
225213,ICT Sales Representative,2434.0,p,Information and communication technology sales professionals
225311,Public Relations Professional,2432.0,p,Public relations professionals
225411,Sales Representative (Industrial Products),2433.0,p,Technical and medical sales professionals (excluding ICT)
225412,Sales Representative (Medical and Pharmaceutical Products),2433.0,p,Technical and medical sales professionals (excluding ICT)
225499,Technical Sales Representatives nec,2433.0,p,Technical and medical sales professionals (excluding ICT)
231111,Aeroplane Pilot,3153.0,p,Aircraft pilots and related associate professionals
231112,Air Traffic Controller,3154.0,,Air traffic controllers
231113,Flying Instructor,3153.0,p,Aircraft pilots and related associate professionals
231114,Helicopter Pilot,3153.0,p,Aircraft pilots and related associate professionals
231199,Air Transport Professionals nec,3153.0,p,Aircraft pilots and related associate professionals
231211,Master Fisher,6222.0,p,Inland and coastal waters fishery workers
231211,Master Fisher,6223.0,p,Deep-sea fishery workers
231212,Ship's Engineer,3151.0,p,Ships' engineers
231213,Ship's Master,3152.0,p,Ships' deck officers and pilots
231214,Ship's Officer,3152.0,p,Ships' deck officers and pilots
231215,Marine Surveyor,3115.0,p,Mechanical engineering technicians
231299,Marine Transport Professionals nec,3152.0,p,Ships' deck officers and pilots
232111,Architect,2161.0,p,Building architects
232112,Landscape Architect,2162.0,,Landscape architects
232212,Surveyor,2165.0,p,Cartographers and surveyors
232213,Cartographer,2165.0,p,Cartographers and surveyors
232214,Other Spatial Scientist,2165.0,p,Cartographers and surveyors
232311,Fashion Designer,2163.0,p,Product and garment designers
232312,Industrial Designer,2163.0,p,Product and garment designers
232313,Jewellery Designer,2163.0,p,Product and garment designers
232411,Graphic Designer,2166.0,p,Graphic and multimedia designers
232412,Illustrator,2166.0,p,Graphic and multimedia designers
232412,Illustrator,2651.0,p,Visual artists
232413,Multimedia Designer,2166.0,p,Graphic and multimedia designers
232414,Web Designer,2166.0,p,Graphic and multimedia designers
232511,Interior Designer,2161.0,p,Building architects
232511,Interior Designer,3432.0,p,Interior designers and decorators
232611,Urban and Regional Planner,2164.0,,Town and traffic planners
233111,Chemical Engineer,2145.0,p,Chemical engineers
233112,Materials Engineer,2149.0,p,Engineering professionals not elsewhere classified
233211,Civil Engineer,2142.0,p,Civil engineers
233212,Geotechnical Engineer,2142.0,p,Civil engineers
233213,Quantity Surveyor,2149.0,p,Engineering professionals not elsewhere classified
233214,Structural Engineer,2142.0,p,Civil engineers
233215,Transport Engineer,2142.0,p,Civil engineers
233311,Electrical Engineer,2151.0,,Electrical engineers
233411,Electronics Engineer,2152.0,,Electronics engineers
233511,Industrial Engineer,2141.0,p,Industrial and production engineers
233511,Industrial Engineer,2149.0,p,Engineering professionals not elsewhere classified
233512,Mechanical Engineer,2144.0,p,Mechanical engineers
233513,Production or Plant Engineer,2141.0,p,Industrial and production engineers
233611,Mining Engineer (excluding Petroleum),2146.0,p,"Mining engineers, metallurgists and related professionals"
233612,Petroleum Engineer,2146.0,p,"Mining engineers, metallurgists and related professionals"
233911,Aeronautical Engineer,2144.0,p,Mechanical engineers
233912,Agricultural Engineer,2144.0,p,Mechanical engineers
233912,Agricultural Engineer,2149.0,p,Engineering professionals not elsewhere classified
233913,Biomedical Engineer,2149.0,p,Engineering professionals not elsewhere classified
233914,Engineering Technologist,2141.0,p,Industrial and production engineers
233914,Engineering Technologist,2142.0,p,Civil engineers
233914,Engineering Technologist,2144.0,p,Mechanical engineers
233914,Engineering Technologist,2145.0,p,Chemical engineers
233914,Engineering Technologist,2146.0,p,"Mining engineers, metallurgists and related professionals"
233914,Engineering Technologist,2149.0,p,Engineering professionals not elsewhere classified
233914,Engineering Technologist,2151.0,p,Electrical engineers
233914,Engineering Technologist,2152.0,p,Electronics engineers
233915,Environmental Engineer,2143.0,p,Environmental engineers
233916,Naval Architect (Aus) / Marine Designer (NZ),2144.0,p,Mechanical engineers
233999,Engineering Professionals nec,2149.0,p,Engineering professionals not elsewhere classified
234111,Agricultural Consultant,2132.0,p,"Farming, forestry and fisheries advisers"
234112,Agricultural Scientist,2132.0,p,"Farming, forestry and fisheries advisers"
234113,Forester (Aus) / Forest Scientist (NZ),2132.0,p,"Farming, forestry and fisheries advisers"
234211,Chemist,2113.0,,Chemists
234212,Food Technologist,2145.0,p,Chemical engineers
234213,Wine Maker,2145.0,p,Chemical engineers
234311,Conservation Officer,2133.0,p,Environmental protection professionals
234312,Environmental Consultant,2133.0,p,Environmental protection professionals
234313,Environmental Research Scientist,2133.0,p,Environmental protection professionals
234314,Park Ranger,2133.0,p,Environmental protection professionals
